Температура;Плотность;Теплоемкость;Теплопроводность;Кинематическая вязкость;Коэффициент объемного расширения
t_avr;ro;cp;lambda_;ny;betta
0;999.9;4212;0.551;0.000001789;-0.000063
10;999.7;4191;0.574;0.000001306;0.00007
20;998.2;4183;0.599;0.000001006;0.000182
30;995.7;4174;0.618;0.000000805;0.000321
40;992.2;4174;0.635;0.000000659;0.000387
50;988.1;4174;0.648;0.000000556;0.000449
60;983.2;4179;0.659;0.000000478;0.000511
70;977.8;4187;0.668;0.000000415;0.00057
80;971.8;4195;0.674;0.000000365;0.000632
90;965.3;4208;0.68;0.000000326;0.000695
100;958.4;4220;0.683;0.000000295;0.000752
110;951;4233;0.685;0.000000272;0.000808
120;943.1;4250;0.686;0.000000252;0.000864
130;934.8;4266;0.686;0.000000233;0.000919
140;926.1;4287;0.685;0.000000217;0.000972
150;917;4313;0.684;0.000000203;0.00103
160;907.4;4346;0.683;0.000000191;0.00107
170;897.3;4380;0.679;0.000000181;0.00113
180;886.9;4417;0.674;0.000000173;0.00119
190;876;4459;0.67;0.000000165;0.00126
200;863;4505;0.663;0.000000158;0.00133
210;852.8;4555;0.655;0.000000153;0.00141
220;840.3;4614;0.645;0.000000149;0.00148
230;827.3;4681;0.637;0.000000145;0.00159
240;813.6;4756;0.628;0.000000141;0.00168
250;799;4844;0.618;0.000000137;0.00181
260;784;4949;0.605;0.000000135;0.00197
270;767.9;5070;0.59;0.000000133;0.00216
280;750.7;5230;0.574;0.000000131;0.00237
290;732.3;5485;0.558;0.000000129;0.00262
300;712.5;5736;0.54;0.000000128;0.00292
310;691.1;6071;0.523;0.000000128;0.00329
320;667.1;6574;0.506;0.000000128;0.00382
330;640.2;7244;0.484;0.000000127;0.00433
340;610.1;8165;0.457;0.000000127;0.00534
350;574.4;9504;0.43;0.000000126;0.00668
360;528;13984;0.395;0.000000126;0.0109
370;450.5;40321;0.337;0.000000126;0.0264
